authority_code,authority_name,longitude,latitude
E10000017,Lancashire,-2.46091,53.8622
E10000018,Leicestershire,-1.3779,52.6878
E10000019,Lincolnshire,-0.23884,53.111
E10000020,Norfolk,0.964714,52.6712
E10000024,Nottinghamshire,-1.00656,53.1285
E10000025,Oxfordshire,-1.29146,51.7715
E10000028,Staffordshire,-2.02756,52.9093
E10000029,Suffolk,1.04919,52.2538
E10000030,Surrey,-0.33911,51.268
E10000031,Warwickshire,-1.56874,52.1798
E10000032,West Sussex,-0.45933,50.9513
E10000034,Worcestershire,-2.20935,52.2129
N09000001,Antrim and Newtownabbey,-6.1776,54.6939
N09000002,"Armagh City, Banbridge and Craigavon",-6.43455,54.3867
N09000003,Belfast,-5.92535,54.5985
N09000004,Causeway Coast and Glens,-6.5996,55.0396
N09000005,Derry City and Strabane,-7.42064,54.809
N09000006,Fermanagh and Omagh,-7.5271,54.3852
N09000007,Lisburn and Castlereagh,-6.03545,54.4975
N09000008,Mid and East Antrim,-6.14645,54.8646
N09000009,Mid Ulster,-6.8889,54.5527
N09000010,"Newry, Mourne and Down",-6.08891,54.1495
N09000011,Ards and North Down,-5.64568,54.5641
S12000005,Clackmannanshire,-3.75316,56.1478
S12000006,Dumfries and Galloway,-4.02863,55.0962
S12000008,East Ayrshire,-4.29057,55.4967
S12000010,East Lothian,-2.72435,55.9421
S12000011,East Renfrewshire,-4.36058,55.7487
S12000013,Na h-Eileanan Siar,-6.65722,58.1994
S12000014,Falkirk,-3.83619,56.0008
S12000017,Highland,-4.66103,57.5866
S12000018,Inverclyde,-4.75387,55.9003
S12000019,Midlothian,-3.11738,55.8211
S12000020,Moray,-3.20202,57.4768
S12000021,North Ayrshire,-4.7246,55.7279
S12000023,Orkney Islands,-2.90025,58.9433
S12000026,Scottish Borders,-2.85869,55.526
S12000027,Shetland Islands,-1.37344,60.505
S12000028,South Ayrshire,-4.72899,55.2301
S12000029,South Lanarkshire,-3.83272,55.6045
S12000030,Stirling,-4.32595,56.2495
S12000033,Aberdeen City,-2.20398,57.167
S12000034,Aberdeenshire,-2.79208,57.2347
S12000035,Argyll and Bute,-5.22114,56.2894
S12000036,City of Edinburgh,-3.27826,55.9112
S12000038,Renfrewshire,-4.56834,55.8486
S12000039,West Dunbartonshire,-4.52074,56.0014
S12000040,West Lothian,-3.60909,55.8992
S12000041,Angus,-2.8921,56.7252
S12000042,Dundee City,-2.97095,56.4776
S12000045,East Dunbartonshire,-4.22417,55.9583
S12000047,Fife,-2.98251,56.2311
S12000048,Perth and Kinross,-3.88484,56.5753
S12000049,Glasgow City,-4.21479,55.8765
S12000050,North Lanarkshire,-3.9514,55.8681
W06000001,Isle of Anglesey,-4.32298,53.2793
W06000002,Gwynedd,-3.77715,52.8988
W06000003,Conwy,-3.74646,53.1474
W06000004,Denbighshire,-3.34761,53.0883
W06000005,Flintshire,-3.18248,53.2147
W06000006,Wrexham,-2.99203,53.0017
W06000008,Ceredigion,-3.94993,52.298
